Sr. No.,Entity Name,Volume (AS a Sender),Value (As a sender),Volume(as a reciver),Value (as a reciver),,
195,MAHAVEER COOPERATIVE URBAN BANK LTD,0.44,7.88,0.39,10.62,,
196,MAHESH SAHAKARI BANK LTD,1.62,21.34,0.71,23.63,,
197,MAHESH URBAN CO-OPERATIVE BANK LTD PARBHANI,0.13,3.38,0.10,3.69,,
198,MAHILA  NAGRIK SAHAKARI BANK MARYADIT MAHASAMUND,0.07,1.16,0.03,0.95,,
199,MALVIYA URBAN CO-OPERATIVE BANK LTD.,0.40,8.83,0.21,10.67,,
200,MANIPUR RURAL BANK,3.76,52.81,2.52,53.69,,
201,MANN DESHI MAHILA SAHAKARI BANK. LTD.,1.30,12.95,0.89,12.55,,
202,MANSING CO-OPERATIVE BANK LTD,0.40,4.35,0.23,4.28,,
203,MANVI PATTANA SOUHARDA SAHAKARI BANK NI.,0.72,12.30,0.51,12.94,,
204,"MARATHA CO-OPERATIVE BANK LTD., BELGAUM",0.66,8.32,0.29,8.37,,
205,MEGHALAYA RURAL BANK,11.21,103.10,6.12,94.29,,
206,MEHSANA URBAN CO-OPERATIVE BANK,14.39,350.01,6.06,257.56,,
207,MIZORAM RURAL BANK,48.04,697.75,33.57,614.03,,
208,MODEL CO-OP. BANK LTD.,4.70,53.76,1.85,44.76,,
209,MOTI URBAN CO-OPERATIVE BANK LTD TALODA,0.02,0.38,0.01,0.48,,
210,MUZAFFARNAGAR DISTRICT COOPERATIVE BANK LTD,0.74,11.81,0.34,11.15,,
211,"NAGARIK SAHAKARI BANK MARYADIT, VIDISHA",0.18,3.43,0.09,2.38,,
212,NAGRIK SAHAKARI MARYADIT GWALIOR,0.44,6.14,0.22,6.00,,
213,NANDANI SAHAKARI BANK LTD NANDANI,0.53,8.49,0.27,7.08,,
214,NANDURBAR MERCHANTS CO-OPERATIVE BANK LTD NANDURBAR,0.00,0.00,0.00,0.02,,
215,NAVANAGARA URBAN CO-OPERATIVE BANK LTD,0.14,2.89,0.07,2.96,,
216,NAVI MUMBAI CO-OPERATIVE BANK LTD,0.76,12.69,0.40,12.53,,
217,NAVSARJAN INDUSTRIAL CO OPERATIVE BANK LTD,0.09,1.26,0.04,1.00,,
218,NEW INDIA CO-OP BANK LTD,2.03,29.73,0.70,22.31,,
219,NILGIRIS DISTRICT CENTRAL COOPERATIVE BANK,0.84,10.69,0.47,11.38,,
220,NKGSB CO-OPERATIVE BANK,21.68,264.24,7.67,222.74,,
221,NORTH EAST SMALL FINANCE BANK LTD,22.97,340.39,17.47,288.40,,
222,NORTHERN RAILWAY PRIMARY COOPERATIVE BANK,0.09,1.74,0.02,1.02,,
223,NSDL PAYMENTS BANK LIMITED,116.48,640.23,51.82,550.91,,
224,NUTAN NAGARIK SAHAKARI BANK LTD.,1.70,26.24,0.72,30.71,,
225,NYAYAMITRA SAHAKARI BANK NIYAMITA,0.00,0.10,0.00,0.19,,
226,ONE MOBIKWIK SYSTEMS LIMITED,36.22,433.63,350.03,1548.82,,
227,PALI URBAN CO-OPERATIVE BANK LIMITED,0.37,6.50,0.32,8.44,,
228,PALUS SAHAKARI BANK LTD,1.29,20.02,0.71,19.72,,
229,PASCHIM BANGA GRAMIN BANK,6.36,86.73,4.07,102.43,,
230,PATAN NAGARIK SAHAKARI BANK LTD.,0.43,7.46,0.33,8.63,,
231,"PAVANA SAHAKARI BANK LTD,  PUNE",1.49,20.42,0.60,16.81,,
232,PAYPOINT INDIA NETWORK PRIVATE LIMITED,1.95,63.31,3.34,78.89,,
233,PAYTM PAYMENTS BANK,124.86,950.24,0.00,0.00,,
234,PAYU PAYMENTS PRIVATE LIMITED,0.00,0.04,0.00,0.01,,
235,PEOPLES CO-OPERATIVE BANK LTD DHOLKA,0.01,0.33,0.01,0.44,,
236,PEOPLES URBAN CO-OPERATIVE BANK LTD,0.34,4.32,0.26,6.58,,
237,POORNAWDI NAGRIK SAHAKARI BANK LTD,2.30,34.81,1.41,39.65,,
238,PRATHAMA UP GRAMIN BANK (ERSTWHILE SARVA UP GRAMIN BANK),122.99,1353.97,70.39,1369.74,,
239,PRERANA CO OPERATIVE BANK LTD,1.12,16.99,0.50,15.12,,
240,PRIME CO-OPERATIVE BANK LTD.,3.22,58.69,1.31,40.94,,
241,PRIYADARSHANI NAGARI SAHAKARI BANK MARYADIT,8.39,121.54,5.17,105.72,,
242,PRIYADARSHANI URBAN CO-OP BANK LTD,0.08,2.18,0.06,2.41,,
243,PUDUKOTTAI DISTRICT CENTRAL COOPERATIVE BANK,0.59,8.33,0.34,9.08,,
244,PUDUVAI BHARATHIAR GRAMA BANK,0.42,4.37,0.20,6.15,,
245,PUNE CANTONMENT SAHAKARI BANK LTD.,1.55,21.22,0.96,19.97,,
246,PUNE DISTRICT CENTRAL CO-OPERATIVE BANK LTD,5.01,64.62,1.73,63.35,,
247,PUNE PEOPLES CO OPERATIVE BANK LTD,4.43,60.81,1.67,46.75,,
248,PUNE URBAN CO-OP BANK LTD,1.24,17.93,0.59,15.90,,
249,PUNJAB AND SIND BANK,353.58,4480.54,166.20,3889.57,,
250,PUNJAB GRAMIN BANK,44.55,525.83,21.17,472.87,,
251,PUNJAB NATIONAL BANK,7329.60,103495.37,3226.19,80735.70,,
252,PUNJAB NATIONAL BANK CREDIT CARD,16.52,177.13,0.09,1.50,,
253,PUSAD URBAN CO-OP BANK LTD.,0.87,16.95,0.57,15.39,,
254,RAJADHANI CO OP URBAN BANK LTD,0.55,9.64,0.25,9.73,,
255,RAJAPUR URBAN COOPERATIVE BANK LTD,0.76,9.21,0.40,8.76,,
256,RAJARAMBAPU SAHAKARI BANK LTD PETH,3.02,40.24,0.87,29.21,,
257,RAJARSHI SHAHU SAHAKARI BANK LTD,3.02,50.79,1.90,48.91,,
258,RAJASTHAN MARUDHARA GRAMIN BANK,219.30,2783.70,110.03,2523.15,,
259,RAJE VIKRAMSINH GHATAGE CO-OPERATIVE BANK LTD.KAGAL,0.38,5.95,0.22,5.49,,
260,RAJGURUNAGAR SAHAKARI  BANK LTD,7.32,108.14,3.21,92.26,,
261,RAJKOT NAGARIK SAHAKARI BANK LTD,18.11,302.93,8.13,242.49,,
262,RAJKOT PEOPLES COOPERATIVE BANK LTD,0.30,6.48,0.16,8.46,,
263,RAJLAXMI URBAN CO OPERATIVE BANK LTD,0.11,1.39,0.06,1.70,,
264,RAMANATHAPURAM DISTRICT CENTRAL COOPERATIVE BANK,0.58,8.79,0.35,10.41,,
265,RAMPUR ZILA SAHKARI BANK LTD,0.31,4.99,0.16,4.17,,
266,"RANI CHANNAMMA MAHILA SAHAKARI BANK NIYAMIT , BELAGAVI",0.40,4.85,0.20,9.40,,
267,RAPIPAY FINTECH PRIVATE LIMITED,0.22,2.98,0.16,2.41,,
268,RATNAGIRI DISTRICT CENTRAL CO-OPERATIVE BANK LTD,0.81,12.67,0.25,9.76,,
